STATE,YEAR,HSS,CPE,IIM,HD,CM,EOH,fc_iim,fc_hss,fc_eoh,fc_cm,fc_cpe,fc_hd,HSSw,CPEw,IIMw,HDw,CMw,EOHw,overall,HSSOLD,CPEOLD,IIMOLD,HDOLD,CMOLD,EOHOLD,Nat_overall,Nat_overalllb,Nat_overallub,overall_class,Nat_HSS,Nat_HSSlb,Nat_HSSub,HSS_class,Nat_CPE,Nat_CPElb,Nat_CPEub,CPE_class,Nat_IIM,Nat_IIMlb,Nat_IIMub,IIM_class,Nat_HD,Nat_HDlb,Nat_HDub,HD_class,Nat_CM,Nat_CMlb,Nat_CMub,CM_class,Nat_EOH,Nat_EOHlb,Nat_EOHub,EOH_class
AK,2013,6.800000191,4.599999905,7,3.299999952,2.900000095,5.099999905,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,5,0.5847881436,0.4299351573,0.3351277709,0.3287830651,0.1717462242,0.4683654308,6.099999905,5.960000038,6.28000021,3,7.5,7.289999962,7.789999962,3,4.5,4.21999979,4.860000134,2,8,7.809999943,8.279999733,3,4.699999809,4.440000057,4.900000095,3,5.599999905,5.320000172,5.96999979,3,6.199999809,5.940000057,6.53000021,3
AL,2013,7.199999809,3.799999952,7.400000095,4.300000191,5.599999905,5.400000095,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,5.599999905,0.6337538362,0.3366590142,0.4280571938,0.4269157946,0.4791332483,0.4939744473,6.099999905,5.960000038,6.28000021,3,7.5,7.289999962,7.789999962,3,4.5,4.21999979,4.860000134,3,8,7.809999943,8.279999733,3,4.699999809,4.440000057,4.900000095,3,5.599999905,5.320000172,5.96999979,2,6.199999809,5.940000057,6.53000021,3
AR,2013,7.400000095,4,8.5,4.900000095,5.5,5.099999905,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6,0.661883831,0.3630053699,0.6621315479,0.494088769,0.4714466929,0.4642002583,6.099999905,5.960000038,6.28000021,2,7.5,7.289999962,7.789999962,2,4.5,4.21999979,4.860000134,3,8,7.809999943,8.279999733,1,4.699999809,4.440000057,4.900000095,2,5.599999905,5.320000172,5.96999979,2,6.199999809,5.940000057,6.53000021,3
AZ,2013,7.300000191,4.5,7.900000095,3.5,4.400000095,5.699999809,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,5.599999905,0.6569142342,0.4135830998,0.5442428589,0.3504773974,0.342594564,0.5280829668,6.099999905,5.960000038,6.28000021,3,7.5,7.289999962,7.789999962,2,4.5,4.21999979,4.860000134,2,8,7.809999943,8.279999733,2,4.699999809,4.440000057,4.900000095,3,5.599999905,5.320000172,5.96999979,3,6.199999809,5.940000057,6.53000021,3
CA,2013,6.900000095,4.400000095,8.600000381,4.199999809,4.300000191,7.199999809,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,5.900000095,0.6054534912,0.4016143382,0.7016636133,0.4239428043,0.3290051222,0.6885669827,6.099999905,5.960000038,6.28000021,3,7.5,7.289999962,7.789999962,3,4.5,4.21999979,4.860000134,2,8,7.809999943,8.279999733,1,4.699999809,4.440000057,4.900000095,3,5.599999905,5.320000172,5.96999979,3,6.199999809,5.940000057,6.53000021,1
CO,2013,6.300000191,5,8.899999619,4.699999809,5.5,7.099999905,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.199999809,0.5219548345,0.4672295451,0.7497265339,0.4691421688,0.4732686877,0.6799091697,6.099999905,5.960000038,6.28000021,2,7.5,7.289999962,7.789999962,3,4.5,4.21999979,4.860000134,1,8,7.809999943,8.279999733,1,4.699999809,4.440000057,4.900000095,2,5.599999905,5.320000172,5.96999979,2,6.199999809,5.940000057,6.53000021,1
CT,2013,8.100000381,6.199999809,7.199999809,5.099999905,5.900000095,6.5,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.5,0.7490655184,0.5928747654,0.3936862648,0.5074825287,0.5187757611,0.6189246178,6.099999905,5.960000038,6.28000021,1,7.5,7.289999962,7.789999962,1,4.5,4.21999979,4.860000134,1,8,7.809999943,8.279999733,3,4.699999809,4.440000057,4.900000095,1,5.599999905,5.320000172,5.96999979,2,6.199999809,5.940000057,6.53000021,2
DC,2013,7.300000191,6.199999809,8.100000381,5.199999809,6.800000191,6.099999905,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.599999905,0.644560039,0.5995544195,0.5790275335,0.515542984,0.6210212708,0.5704909563,6.099999905,5.960000038,6.28000021,1,7.5,7.289999962,7.789999962,2,4.5,4.21999979,4.860000134,1,8,7.809999943,8.279999733,2,4.699999809,4.440000057,4.900000095,1,5.599999905,5.320000172,5.96999979,1,6.199999809,5.940000057,6.53000021,2
DE,2013,6.699999809,5.5,7.5,4.699999809,4.900000095,6,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,5.900000095,0.5695070028,0.5177487135,0.4478338659,0.4711348414,0.4056952298,0.5636053085,6.099999905,5.960000038,6.28000021,3,7.5,7.289999962,7.789999962,3,4.5,4.21999979,4.860000134,1,8,7.809999943,8.279999733,3,4.699999809,4.440000057,4.900000095,2,5.599999905,5.320000172,5.96999979,3,6.199999809,5.940000057,6.53000021,2
FL,2013,8,4,8.199999809,4.400000095,4.599999905,7.199999809,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6,0.7351440191,0.3639503121,0.59930408,0.4445400238,0.3646549582,0.6884196401,6.099999905,5.960000038,6.28000021,2,7.5,7.289999962,7.789999962,1,4.5,4.21999979,4.860000134,3,8,7.809999943,8.279999733,2,4.699999809,4.440000057,4.900000095,3,5.599999905,5.320000172,5.96999979,3,6.199999809,5.940000057,6.53000021,1
GA,2013,7,3.400000095,8,4.199999809,4.800000191,4.900000095,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,5.5,0.6095243692,0.3029854298,0.568336308,0.4158715606,0.3874307275,0.4458910525,6.099999905,5.960000038,6.28000021,3,7.5,7.289999962,7.789999962,3,4.5,4.21999979,4.860000134,3,8,7.809999943,8.279999733,2,4.699999809,4.440000057,4.900000095,3,5.599999905,5.320000172,5.96999979,3,6.199999809,5.940000057,6.53000021,3
HI,2013,8.199999809,5,7,4.900000095,5.5,6.199999809,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.099999905,0.7689285278,0.4672869742,0.3415183723,0.4878712296,0.465959847,0.5865762234,6.099999905,5.960000038,6.28000021,2,7.5,7.289999962,7.789999962,1,4.5,4.21999979,4.860000134,1,8,7.809999943,8.279999733,3,4.699999809,4.440000057,4.900000095,2,5.599999905,5.320000172,5.96999979,2,6.199999809,5.940000057,6.53000021,2
IA,2013,8,4.400000095,9.199999809,4.599999905,7.300000191,7,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.699999809,0.740516305,0.4046806395,0.8291186094,0.4578001797,0.6887030602,0.6688377857,6.099999905,5.960000038,6.28000021,1,7.5,7.289999962,7.789999962,1,4.5,4.21999979,4.860000134,2,8,7.809999943,8.279999733,1,4.699999809,4.440000057,4.900000095,2,5.599999905,5.320000172,5.96999979,1,6.199999809,5.940000057,6.53000021,1
ID,2013,7.099999905,5.199999809,7.900000095,4.099999905,4.699999809,6.699999809,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,5.900000095,0.6193912029,0.4863575995,0.5398780107,0.410820514,0.3747057915,0.64426893,6.099999905,5.960000038,6.28000021,3,7.5,7.289999962,7.789999962,3,4.5,4.21999979,4.860000134,1,8,7.809999943,8.279999733,2,4.699999809,4.440000057,4.900000095,3,5.599999905,5.320000172,5.96999979,3,6.199999809,5.940000057,6.53000021,1
IL,2013,7.599999905,4.400000095,8.100000381,4.900000095,5.300000191,5.800000191,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.099999905,0.6898197532,0.3994679153,0.5939096808,0.4854507446,0.4429016709,0.5434750319,6.099999905,5.960000038,6.28000021,2,7.5,7.289999962,7.789999962,2,4.5,4.21999979,4.860000134,2,8,7.809999943,8.279999733,2,4.699999809,4.440000057,4.900000095,2,5.599999905,5.320000172,5.96999979,3,6.199999809,5.940000057,6.53000021,3
IN,2013,8.100000381,4.199999809,8.5,4.800000191,5.599999905,6.5,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.300000191,0.7525840998,0.3854214549,0.6636374593,0.4794326127,0.4886915088,0.6222301126,6.099999905,5.960000038,6.28000021,1,7.5,7.289999962,7.789999962,1,4.5,4.21999979,4.860000134,3,8,7.809999943,8.279999733,1,4.699999809,4.440000057,4.900000095,2,5.599999905,5.320000172,5.96999979,2,6.199999809,5.940000057,6.53000021,2
KS,2013,7.599999905,4.5,7.699999809,4.699999809,6.400000095,6.5,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.199999809,0.6920002103,0.4147624671,0.5055387616,0.4720835686,0.5739498734,0.6132452488,6.099999905,5.960000038,6.28000021,2,7.5,7.289999962,7.789999962,2,4.5,4.21999979,4.860000134,2,8,7.809999943,8.279999733,3,4.699999809,4.440000057,4.900000095,2,5.599999905,5.320000172,5.96999979,1,6.199999809,5.940000057,6.53000021,2
KY,2013,8,4.300000191,8.399999619,4.699999809,5.800000191,6.5,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.300000191,0.7465883493,0.3983932137,0.6519474387,0.4690829813,0.5064814687,0.6180053353,6.099999905,5.960000038,6.28000021,1,7.5,7.289999962,7.789999962,1,4.5,4.21999979,4.860000134,2,8,7.809999943,8.279999733,1,4.699999809,4.440000057,4.900000095,2,5.599999905,5.320000172,5.96999979,2,6.199999809,5.940000057,6.53000021,2
LA,2013,7.099999905,4.400000095,7.800000191,3.900000095,5.099999905,6,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,5.699999809,0.6275316477,0.4070339203,0.5148848295,0.388065666,0.42716676,0.5631876588,6.099999905,5.960000038,6.28000021,3,7.5,7.289999962,7.789999962,3,4.5,4.21999979,4.860000134,2,8,7.809999943,8.279999733,3,4.699999809,4.440000057,4.900000095,3,5.599999905,5.320000172,5.96999979,3,6.199999809,5.940000057,6.53000021,2
MA,2013,8.300000191,5.400000095,8,4.900000095,6.199999809,5.699999809,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.5,0.7765790224,0.5156499147,0.5677171946,0.4853812158,0.557585001,0.5267822742,6.099999905,5.960000038,6.28000021,1,7.5,7.289999962,7.789999962,1,4.5,4.21999979,4.860000134,1,8,7.809999943,8.279999733,2,4.699999809,4.440000057,4.900000095,2,5.599999905,5.320000172,5.96999979,1,6.199999809,5.940000057,6.53000021,3
MD,2013,7.699999809,4.800000191,8.800000191,5.699999809,5.900000095,7.699999809,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.699999809,0.7025643587,0.449297905,0.7318475246,0.5721455216,0.5175551772,0.7535467148,6.099999905,5.960000038,6.28000021,1,7.5,7.289999962,7.789999962,2,4.5,4.21999979,4.860000134,2,8,7.809999943,8.279999733,1,4.699999809,4.440000057,4.900000095,1,5.599999905,5.320000172,5.96999979,2,6.199999809,5.940000057,6.53000021,1
ME,2013,7.699999809,5.599999905,7.400000095,5.300000191,6.599999905,7.5,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.599999905,0.7000598907,0.5290315747,0.4390455484,0.5343640447,0.6007031798,0.7214585543,6.099999905,5.960000038,6.28000021,1,7.5,7.289999962,7.789999962,2,4.5,4.21999979,4.860000134,1,8,7.809999943,8.279999733,3,4.699999809,4.440000057,4.900000095,1,5.599999905,5.320000172,5.96999979,1,6.199999809,5.940000057,6.53000021,1
MI,2013,8.800000191,5.400000095,8.100000381,4.900000095,5.699999809,6.5,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.599999905,0.8415859938,0.5133171678,0.5889793634,0.4893133044,0.4932120442,0.6202558875,6.099999905,5.960000038,6.28000021,1,7.5,7.289999962,7.789999962,1,4.5,4.21999979,4.860000134,1,8,7.809999943,8.279999733,2,4.699999809,4.440000057,4.900000095,2,5.599999905,5.320000172,5.96999979,2,6.199999809,5.940000057,6.53000021,2
MN,2013,7.900000095,4.900000095,7.5,5.300000191,6.099999905,6.800000191,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.400000095,0.7300838828,0.4574736059,0.4566509128,0.5330731273,0.5405887365,0.6471518874,6.099999905,5.960000038,6.28000021,1,7.5,7.289999962,7.789999962,1,4.5,4.21999979,4.860000134,1,8,7.809999943,8.279999733,3,4.699999809,4.440000057,4.900000095,1,5.599999905,5.320000172,5.96999979,1,6.199999809,5.940000057,6.53000021,1
MO,2013,8.399999619,4.199999809,8.600000381,5.099999905,6.699999809,5.800000191,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.5,0.7897315025,0.3818184137,0.6993592381,0.5132339001,0.6118737459,0.5416505933,6.099999905,5.960000038,6.28000021,1,7.5,7.289999962,7.789999962,1,4.5,4.21999979,4.860000134,3,8,7.809999943,8.279999733,1,4.699999809,4.440000057,4.900000095,1,5.599999905,5.320000172,5.96999979,1,6.199999809,5.940000057,6.53000021,3
MS,2013,6.400000095,3.099999905,8.300000191,4.300000191,3.799999952,5.199999809,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,5.199999809,0.5404514074,0.2643970251,0.6280899644,0.4284626842,0.2691038549,0.4728236496,6.099999905,5.960000038,6.28000021,3,7.5,7.289999962,7.789999962,3,4.5,4.21999979,4.860000134,3,8,7.809999943,8.279999733,1,4.699999809,4.440000057,4.900000095,3,5.599999905,5.320000172,5.96999979,3,6.199999809,5.940000057,6.53000021,3
MT,2013,6.699999809,2.900000095,7.199999809,3.799999952,6.099999905,5.900000095,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,5.400000095,0.5687006712,0.2471607178,0.3991244733,0.3827879131,0.5467945337,0.5539742708,6.099999905,5.960000038,6.28000021,3,7.5,7.289999962,7.789999962,3,4.5,4.21999979,4.860000134,3,8,7.809999943,8.279999733,3,4.699999809,4.440000057,4.900000095,3,5.599999905,5.320000172,5.96999979,1,6.199999809,5.940000057,6.53000021,3
NC,2013,7.099999905,3.700000048,9.100000381,4.699999809,6.199999809,6.300000191,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.199999809,0.6258180141,0.3332369328,0.8110779524,0.4720220566,0.5497766733,0.5982074142,6.099999905,5.960000038,6.28000021,2,7.5,7.289999962,7.789999962,3,4.5,4.21999979,4.860000134,3,8,7.809999943,8.279999733,1,4.699999809,4.440000057,4.900000095,2,5.599999905,5.320000172,5.96999979,1,6.199999809,5.940000057,6.53000021,2
ND,2013,7.400000095,5.800000191,7.599999905,5.099999905,6.099999905,5.900000095,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.400000095,0.6591453552,0.5555954576,0.4784095287,0.5085828304,0.54772681,0.556670785,6.099999905,5.960000038,6.28000021,1,7.5,7.289999962,7.789999962,2,4.5,4.21999979,4.860000134,1,8,7.809999943,8.279999733,3,4.699999809,4.440000057,4.900000095,1,5.599999905,5.320000172,5.96999979,1,6.199999809,5.940000057,6.53000021,3
NE,2013,8.699999809,5.5,8.600000381,4.699999809,6.5,6.599999905,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.800000191,0.8351096511,0.5261129737,0.6948613524,0.4716205597,0.5845689774,0.6279033422,6.099999905,5.960000038,6.28000021,1,7.5,7.289999962,7.789999962,1,4.5,4.21999979,4.860000134,1,8,7.809999943,8.279999733,1,4.699999809,4.440000057,4.900000095,2,5.599999905,5.320000172,5.96999979,1,6.199999809,5.940000057,6.53000021,1
NH,2013,6.599999905,4.099999905,7.599999905,6,6.699999809,7.099999905,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.300000191,0.5605319738,0.3749924302,0.4854636788,0.5983520746,0.6103487015,0.6843696237,6.099999905,5.960000038,6.28000021,1,7.5,7.289999962,7.789999962,3,4.5,4.21999979,4.860000134,3,8,7.809999943,8.279999733,3,4.699999809,4.440000057,4.900000095,1,5.599999905,5.320000172,5.96999979,1,6.199999809,5.940000057,6.53000021,1
NJ,2013,7.800000191,4.099999905,7.900000095,5.300000191,5.699999809,6.300000191,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.199999809,0.7093603611,0.3697232306,0.5431182384,0.5330224633,0.491489172,0.5925703645,6.099999905,5.960000038,6.28000021,2,7.5,7.289999962,7.789999962,1,4.5,4.21999979,4.860000134,3,8,7.809999943,8.279999733,2,4.699999809,4.440000057,4.900000095,1,5.599999905,5.320000172,5.96999979,2,6.199999809,5.940000057,6.53000021,2
NM,2013,8.899999619,3.200000048,7.800000191,3.900000095,4.800000191,6.300000191,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,5.800000191,0.8545825481,0.2782878876,0.5243946314,0.3897848725,0.3911812901,0.5999860764,6.099999905,5.960000038,6.28000021,3,7.5,7.289999962,7.789999962,1,4.5,4.21999979,4.860000134,3,8,7.809999943,8.279999733,3,4.699999809,4.440000057,4.900000095,3,5.599999905,5.320000172,5.96999979,3,6.199999809,5.940000057,6.53000021,2
NV,2013,7.199999809,4.099999905,8,3.700000048,3.799999952,6.699999809,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,5.5,0.6428794861,0.3688082099,0.5652108788,0.3739156425,0.2695220113,0.6393746138,6.099999905,5.960000038,6.28000021,3,7.5,7.289999962,7.789999962,3,4.5,4.21999979,4.860000134,3,8,7.809999943,8.279999733,2,4.699999809,4.440000057,4.900000095,3,5.599999905,5.320000172,5.96999979,3,6.199999809,5.940000057,6.53000021,1
NY,2013,7.699999809,5.099999905,7.900000095,4.800000191,5.5,7.099999905,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.300000191,0.7012298107,0.4813232124,0.5501548648,0.4815157652,0.4764247239,0.6845914721,6.099999905,5.960000038,6.28000021,1,7.5,7.289999962,7.789999962,2,4.5,4.21999979,4.860000134,1,8,7.809999943,8.279999733,2,4.699999809,4.440000057,4.900000095,2,5.599999905,5.320000172,5.96999979,2,6.199999809,5.940000057,6.53000021,1
OH,2013,6.199999809,4.599999905,8,4.5,5.800000191,5,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,5.800000191,0.5132107735,0.43018803,0.5711817145,0.449039489,0.5046153069,0.4506252408,6.099999905,5.960000038,6.28000021,3,7.5,7.289999962,7.789999962,3,4.5,4.21999979,4.860000134,2,8,7.809999943,8.279999733,2,4.699999809,4.440000057,4.900000095,2,5.599999905,5.320000172,5.96999979,2,6.199999809,5.940000057,6.53000021,3
OK,2013,7.400000095,4.400000095,7.900000095,4.5,6,6.199999809,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.099999905,0.6613686085,0.407721132,0.5400585532,0.4508756697,0.5260919333,0.5879433155,6.099999905,5.960000038,6.28000021,2,7.5,7.289999962,7.789999962,2,4.5,4.21999979,4.860000134,2,8,7.809999943,8.279999733,2,4.699999809,4.440000057,4.900000095,2,5.599999905,5.320000172,5.96999979,1,6.199999809,5.940000057,6.53000021,2
OR,2013,7.5,5.099999905,7.599999905,4.099999905,5.900000095,6.099999905,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6,0.6713740826,0.4740431011,0.4661015868,0.4125156999,0.5194238424,0.5718019605,6.099999905,5.960000038,6.28000021,2,7.5,7.289999962,7.789999962,2,4.5,4.21999979,4.860000134,1,8,7.809999943,8.279999733,3,4.699999809,4.440000057,4.900000095,3,5.599999905,5.320000172,5.96999979,2,6.199999809,5.940000057,6.53000021,2
PA,2013,7.199999809,4.400000095,8.199999809,5.5,5.900000095,4.599999905,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.099999905,0.6415451169,0.4068749249,0.6012275815,0.550291419,0.5237912536,0.4122941196,6.099999905,5.960000038,6.28000021,2,7.5,7.289999962,7.789999962,3,4.5,4.21999979,4.860000134,2,8,7.809999943,8.279999733,2,4.699999809,4.440000057,4.900000095,1,5.599999905,5.320000172,5.96999979,2,6.199999809,5.940000057,6.53000021,3
RI,2013,7,6.199999809,8,5.900000095,6.099999905,5.599999905,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.599999905,0.6173119545,0.5915970802,0.5623729825,0.5939912796,0.5373165607,0.5180534124,6.099999905,5.960000038,6.28000021,1,7.5,7.289999962,7.789999962,3,4.5,4.21999979,4.860000134,1,8,7.809999943,8.279999733,2,4.699999809,4.440000057,4.900000095,1,5.599999905,5.320000172,5.96999979,1,6.199999809,5.940000057,6.53000021,3
SC,2013,7.5,3.5,9.100000381,5,6.099999905,6.400000095,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.300000191,0.6793991327,0.3046784699,0.8122884035,0.4998772144,0.5473780632,0.6108939052,6.099999905,5.960000038,6.28000021,1,7.5,7.289999962,7.789999962,2,4.5,4.21999979,4.860000134,3,8,7.809999943,8.279999733,1,4.699999809,4.440000057,4.900000095,1,5.599999905,5.320000172,5.96999979,1,6.199999809,5.940000057,6.53000021,2
SD,2013,7.599999905,4,7.400000095,4.699999809,6.800000191,5.900000095,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6,0.6917496324,0.3592620194,0.4250723124,0.4697120488,0.6220546365,0.5483192205,6.099999905,5.960000038,6.28000021,2,7.5,7.289999962,7.789999962,2,4.5,4.21999979,4.860000134,3,8,7.809999943,8.279999733,3,4.699999809,4.440000057,4.900000095,2,5.599999905,5.320000172,5.96999979,1,6.199999809,5.940000057,6.53000021,3
TN,2013,6.800000191,4.699999809,8.899999619,4.199999809,6.400000095,6.300000191,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.199999809,0.5802670717,0.4393769801,0.7497335076,0.4209736586,0.5788050294,0.5914483666,6.099999905,5.960000038,6.28000021,2,7.5,7.289999962,7.789999962,3,4.5,4.21999979,4.860000134,2,8,7.809999943,8.279999733,1,4.699999809,4.440000057,4.900000095,3,5.599999905,5.320000172,5.96999979,1,6.199999809,5.940000057,6.53000021,2
TX,2013,8.600000381,4.400000095,7.599999905,3.799999952,5.699999809,6.5,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.099999905,0.8246877193,0.4088488519,0.4866853058,0.3790076971,0.4910345972,0.6224952936,6.099999905,5.960000038,6.28000021,2,7.5,7.289999962,7.789999962,1,4.5,4.21999979,4.860000134,2,8,7.809999943,8.279999733,3,4.699999809,4.440000057,4.900000095,3,5.599999905,5.320000172,5.96999979,2,6.199999809,5.940000057,6.53000021,2
UT,2013,7.800000191,5.5,9.399999619,4.300000191,4.900000095,6.300000191,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.400000095,0.7097440958,0.5228132606,0.870447278,0.4291932881,0.4037803411,0.5954274535,6.099999905,5.960000038,6.28000021,1,7.5,7.289999962,7.789999962,1,4.5,4.21999979,4.860000134,1,8,7.809999943,8.279999733,1,4.699999809,4.440000057,4.900000095,3,5.599999905,5.320000172,5.96999979,3,6.199999809,5.940000057,6.53000021,2
VA,2013,7.800000191,4.300000191,9.300000191,5.099999905,5.400000095,7.5,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.5,0.7180235386,0.3950813711,0.8468194604,0.5114424825,0.4640092254,0.7270128727,6.099999905,5.960000038,6.28000021,1,7.5,7.289999962,7.789999962,1,4.5,4.21999979,4.860000134,2,8,7.809999943,8.279999733,1,4.699999809,4.440000057,4.900000095,1,5.599999905,5.320000172,5.96999979,2,6.199999809,5.940000057,6.53000021,1
